NinjaScript File,Error,Code,Line,Column,
Classifier.cs,Type expected,CS1031,11,156,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,156,
Classifier.cs,Identifier expected; 'double' is a keyword,CS1041,11,170,
Classifier.cs,; expected,CS1002,11,182,
Classifier.cs,Invalid token '=' in class struct or interface member declaration,CS1519,11,188,
Classifier.cs,Type expected,CS1031,11,192,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,192,
Classifier.cs,Type expected,CS1031,11,235,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,235,
Classifier.cs,Identifier expected; 'double' is a keyword,CS1041,11,249,
Classifier.cs,; expected,CS1002,11,261,
Classifier.cs,Invalid token '=' in class struct or interface member declaration,CS1519,11,267,
Classifier.cs,Type expected,CS1031,11,271,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,271,
Classifier.cs,Type expected,CS1031,11,314,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,314,
Classifier.cs,Identifier expected; 'double' is a keyword,CS1041,11,328,
Classifier.cs,; expected,CS1002,11,338,
Classifier.cs,Invalid token '=' in class struct or interface member declaration,CS1519,11,348,
Classifier.cs,Type expected,CS1031,11,352,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,11,352,
Classifier.cs,Type expected,CS1031,12,148,
Classifier.cs,Type expected,CS1031,12,184,
Classifier.cs,Type expected,CS1031,12,222,
Classifier.cs,Type expected,CS1031,35,16,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,35,16,
Classifier.cs,Identifier expected; 'bool' is a keyword,CS1041,35,25,
Classifier.cs,Identifier expected; 'string' is a keyword,CS1041,35,33,
Classifier.cs,; expected,CS1002,35,45,
Classifier.cs,Method must have a return type,CS1520,35,47,
Classifier.cs,Type expected,CS1031,35,89,
Classifier.cs,Identifier expected; 'double' is a keyword,CS1041,35,99,
Classifier.cs,; expected,CS1002,35,107,
Classifier.cs,Invalid token ')' in class struct or interface member declaration,CS1519,35,112,
Classifier.cs,Invalid token 'if' in class struct or interface member declaration,CS1519,36,39,
Classifier.cs,Invalid token '>=' in class struct or interface member declaration,CS1519,36,50,
Classifier.cs,Invalid token '=' in class struct or interface member declaration,CS1519,36,59,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,36,66,
Classifier.cs,Invalid token '(' in class struct or interface member declaration,CS1519,36,74,
Classifier.cs,Invalid token '' in class struct or interface member declaration,CS1519,36,80,
